atleta_id;nome;apelido;slug;clube_id;clube_nome;clube_abreviacao;posicao_id;posicao_nome;status_id;status_nome;preco_num;variacao_num;media_num;jogos_num;pontos_num
51413;Walter Leandro Capeloza Artune;Walter;walter;2305;MIR;MIR;1;Goleiro;7;Provável;5;0;0;0;0
97735;Giovanni Fernando Confreste Pavani - Cofreste;Giovanni Pavani;giovanni-pavani;364;REM;REM;4;Meia;6;Nulo;3;0;0;0;0
98224;Jaderson Flores dos Reis;Jáderson;jaderson;364;REM;REM;4;Meia;7;Provável;4;0;0;0;0
111945;Diego Manuel Hernández González;Diego Hernández;diego-hernandez;364;REM;REM;4;Meia;6;Nulo;4;0;0;0;0
104257;João Lucas de Almeida Carvalho;João Lucas;joao-lucas;364;REM;REM;2;Lateral;7;Provável;5;0;0;0;0
97795;Marcelo Rodrigues Souza;Marcelinho;marcelinho;364;REM;REM;2;Lateral;6;Nulo;3;0;0;0;0
117338;Yago de Paula Ferreira;Yago Ferreira;yago-ferreira;364;REM;REM;4;Meia;6;Nulo;2;0;0;0;0
95555;Sávio Antônio Alves;Sávio;savio;364;REM;REM;2;Lateral;7;Provável;4;0;0;0;0
107172;Patrick de Paula Carreiro;Patrick de Paula;patrick-de-paula;364;REM;REM;4;Meia;7;Provável;5;0;0;0;0
96831;Carlos Moisés de Lima;Carlinhos;carlinhos;364;REM;REM;5;Atacante;7;Provável;4;0;0;0;0
101717;Marrony da Silva Liberato;Marrony;marrony;364;REM;REM;5;Atacante;6;Nulo;4;0;0;0;0
143455;Darilson Gama Amador;PH Gama;ph-gama;364;REM;REM;4;Meia;6;Nulo;2;0;0;0;0
102911;José Ricardo Araújo Fernandes;Zé Ricardo;ze-ricardo;364;REM;REM;4;Meia;7;Provável;3;0;0;0;0
68822;Rafael de Carvalho Santos;Rafael Santos;rafael-santos;315;CHA;CHA;1;Goleiro;7;Provável;3;0;0;0;0
122441;Kayky Henrique Almeida Brandão da Silva;Kayky Almeida;kayky-almeida;364;REM;REM;3;Zagueiro;6;Nulo;2;0;0;0;0
141386;Marcos Alexandre Ferreira Campos Filho;Marcos Alexandre;marcos-alexandre;364;REM;REM;1;Goleiro;6;Nulo;1;0;0;0;0
142593;Michael Nicolás Ferreira Berrondo;Nicolás Ferreira;nicolas-ferreira;364;REM;REM;5;Atacante;6;Nulo;3;0;0;0;0
145782;Cristian Marcelo González Tassano;Cristian Tassano;cristian-tassano;364;REM;REM;3;Zagueiro;6;Nulo;3;0;0;0;0
146040;João Pedro Sousa Silva;João Pedro;joao-pedro;364;REM;REM;5;Atacante;6;Nulo;3;0;0;0;0
88293;Altemir Cordeiro Pessôa Neto;Neto Pessoa;neto-pessoa;315;CHA;CHA;5;Atacante;5;Contundido;3;0;0;0;0
68938;Giovanni Augusto Oliveira Cardoso;Giovanni Augusto;giovanni-augusto;315;CHA;CHA;4;Meia;6;Nulo;5;0;0;0;0
70958;Jean Carlos Vicente;Jean Carlos;jean-carlos;315;CHA;CHA;4;Meia;7;Provável;4;0;0;0;0
83048;Rafael Thyere de Albuquerque Marques;Rafael Thyere;rafael-thyere;315;CHA;CHA;3;Zagueiro;5;Contundido;4;0;0;0;0
